ID;Population;Plant_ID;Max_height_m;Mean_height_m;Area_m2;Perimeter_m;Flower_guide;Flower_size ;Mean_flower_number;Sum_flower_number;Synchrony_marquis;Distance_to_stream;Distance_to_tree;Distance_to_edge;Neighbour_intra_05m_m2;Neighbour_inter_05m_m2;Neighbour_intra_1m_m2;Neighbour_inter_1m_m2;Neighbour_intra_2m_m2;Neighbour_inter_2m_m2;Neighbour_intra_3m_m2;Neighbour_inter_3m_m2;Longitude;Latitude;Number_buds_branch;Fruit_set;Seed_set;Seed_mass;Total_visits
1;Rocina;2;0.897078514;0.416026552;5.444;11.34;2;30.234;18;54;22.24596391;7553760.266;34.72636137;4174747.761;5.445;0;7.608;5.915;13.879;7.397;18.985;8.338;-6.528494729;37.13106585;79;0.255813953;8.4;0.00075;12
2;Rocina;3;1.730829239;0.535087449;1.89;6.334;2;26.8125;8;32;17.13741987;7553755.746;32.62371693;4174746.14;1.889;5.915;1.889;7.096;7.334;9.135;13.969;9.135;-6.528413074;37.13102276;128;0.146341463;7.6;0.000294444;10
55;Rocina;120;0.485188484;0.269733715;2.278;6.975;1;33.162;49;245;14.48717949;7553660.255;40.3597506;4174728.72;3.735;0;3.735;0.41;8.687;0.41;8.687;0.41;-6.527020117;37.13098794;154;0.40625;26.2;0.000338235;24
56;Rocina;127;0.639860153;0.243368693;1.882;5.914;3;29.58;112;560;14.48717949;7553664.049;32.34821453;4174728.72;3.377;0.579;6;0.709;7.195;0.709;15.371;0.709;-6.527103331;37.13096205;37;0.36;29.2;0.0005375;41
3;Rocina;129;0.314242363;0.217653;1.021;3.841;1;32.364;98.5;788;8.54931342;7553668.677;30.97230808;4174728.72;1.126;0;3.678;0;5.249;0.614;6.515;1.323;-6.527136048;37.13099607;81;0.347368421;23.8;0.000516129;114
4;Rocina;136;0.524571419;0.418963957;1.194;4.841;2;28.652;27;216;8.3377849;7553664.971;34.44902363;4174728.72;5.627;0;7.122;0.129;14.072;0.709;17.716;0.709;-6.527091477;37.13098416;87;0.684210526;23.2;0.00045;53
58;Rocina;137;0.891515732;0.481994161;3.868;8.258;1;25.82;90;180;36.21794872;7553693.241;5.369432578;4174761.847;17.282;0;25.231;0;27.644;0;32.932;3.365;-6.527482197;37.13102813;93;0.235294118;22.2;0.000731579;3
54;Rocina;143;0.334429741;0.223272379;0.872;3.695;1;30.674;15.67;47;23.7952355;7553689.655;6.531632252;4174759.404;9.711;0;11.715;0;15.584;0.328;21.923;0.328;-6.527456045;37.13100434;46;0.789473684;21.8;0.000518182;5
48;Rocina;150;0.90789032;0.587442854;0.266;2.841;2;35.336;23.8;119;14.3438914;7553693.036;0;4174756.087;0.266;28.941;0.266;28.941;0.266;29.847;15.387;29.847;-6.527527794;37.13097254;48;0.7;24.6;0.000478788;22
5;Rocina;152;0.759056091;0.349912502;3.911;7.902;3;37.54;88.57;620;9.825711922;7553699.075;2.717858999;4174753.449;5.095;1.192;10.676;3.05;21.315;5.845;21.315;34.674;-6.527637765;37.13097494;59;0.409090909;24.6;0.000506452;48
6;Rocina;156;0.442521095;0.354422622;1.565;4.891;2;29.732;46.67;140;23.11660562;7553699.077;6.091870397;4174747.802;5.858;0;8.323;0;14.537;0;28.582;0.389;-6.527694426;37.13093244;103;0.510638298;13.4;0.000412903;47
7;Rocina;158;0.569249153;0.422897498;2.464;6.745;2;30.816;194.8;974;13.88932765;7553701.119;7.870734258;4174747.641;17.62;0;19.184;0.389;24.592;0.389;27.898;0.389;-6.527717225;37.13093592;67;0.222222222;13.75;0.000688;94
8;Rocina;161;0.438791275;0.218425739;3.855;8.483;2;35.118;178;1246;9.506317652;7553695.999;1.393421766;4174760.024;3.855;0.301;6.824;2.076;10.746;30.697;25.956;32.37;-6.527533159;37.13102092;92;0.338028169;23.2;0.000617391;166
9;Rocina;163;0.253271103;0.216569313;0.654;3.38;2;35.06;13.33;40;23.65384616;7553703.787;8.011611581;4174765.441;0.654;0;0.654;0;0.654;1.532;0.654;2.037;-6.527588144;37.13107892;33;0.75;27.2;0.00056087;34
10;Rocina;164;0.694867134;0.370253395;3.804;8.813;1;30.252;32.5;130;16.9995069;7553706.082;6.741441697;4174760.731;3.954;0;4.216;0;4.851;0;5.022;0.505;-6.527660564;37.13105005;57;0.109090909;8.4;0.000621053;7
11;Rocina;166;0.484631538;0.398007272;0.43;2.62;2;32.006;17;51;21.90799397;7553707.607;9.573980896;4174759.415;0.431;0;0.635;0;5.428;0;5.828;0.5;-6.527693085;37.13104016;101;0.611111111;32.6;0.000418519;14
12;Rocina;168;0.551855087;0.466704018;2.235;6.559;3;33.674;162.8;1628;6.820859321;7553711.004;13.56009852;4174758.414;2.458;0.071;2.458;0.571;11.978;0.571;12.314;0.571;-6.527749;37.13103989;87;0.597222222;21.6;0.00043871;93
13;Rocina;169;1.171792984;0.645573025;2.885;7.519;2;32.795;127;381;23.23227225;7553710.746;15.05610811;4174755.023;6.826;0;6.963;0;21.312;0.547;29.006;0.738;-6.52777724;37.1310137;41;0.509803922;17.6;0.000520588;82
14;Rocina;170;1.50313282;0.61780014;5.89;10.345;3;34.39;304.67;1828;11.61420636;7553707.264;11.16979049;4174754.406;10.168;0;13.888;0;19.477;0.071;30.672;0.368;-6.527737677;37.13100221;87;0.360655738;20.8;0.000466667;30
