ID;Population;Date;Time;Plant_ID;Pollinator_sp;Pollinator_fg;N_visitations;N_flowers_code;Pollinator_collected;Survey_method;Flower_number
27;Rocina;7/5/19;9:00;161;Dasypoda_sp;Medium_size_bee;46;2;N;CAM1;49
28;Rocina;7/5/19;9:00;161;Lasioglossum_sp;Small_bee;43;2;N;CAM1;49
29;Rocina;7/5/19;9:00;161;Andrena_sp;Medium_size_bee;18;2;N;CAM1;49
30;Rocina;7/5/19;9:00;161;Phthiria_sp;Beefly;1;2;N;CAM1;49
31;Rocina;7/5/19;9:30;171;Dasypoda_sp;Medium_size_bee;2;2;N;CAM1;22
32;Rocina;7/5/19;9:30;171;Lasioglossum_sp;Small_bee;11;2;N;CAM1;22
33;Rocina;7/5/19;9:30;171;Andrena_sp;Medium_size_bee;5;2;N;CAM1;22
34;Rocina;7/5/19;10:15;1660;Lasioglossum_sp;Small_bee;7;1;N;CAM1;4
35;Rocina;7/5/19;10:45;1641;Lasioglossum_sp;Small_bee;23;3;N;CAM1;101
36;Rocina;7/5/19;10:45;1641;Eristalis_tenax;Hoverfly;9;3;N;CAM1;101
37;Rocina;7/5/19;9:00;168;Dasypoda_sp;Medium_size_bee;17;2;N;CAM2;32
38;Rocina;7/5/19;9:00;168;Lasioglossum_sp;Small_bee;32;2;N;CAM2;32
39;Rocina;7/5/19;9:00;168;Phthiria_sp;Beefly;3;2;N;CAM2;32
40;Rocina;7/5/19;9:00;168;Eristalis_tenax;Hoverfly;1;2;N;CAM2;32
41;Rocina;7/5/19;9:30;169;Dasypoda_sp;Medium_size_bee;1;2;N;CAM2;22
42;Rocina;7/5/19;9:30;169;Lasioglossum_sp;Small_bee;77;2;N;CAM2;22
43;Rocina;7/5/19;10:15;166;Lasioglossum_sp;Small_bee;13;1;N;CAM2;5
44;Rocina;7/5/19;10:15;166;Dasypoda_sp;Medium_size_bee;1;1;N;CAM2;5
45;Rocina;7/5/19;10:45;152;Xylocopa_cantabrita;Large_bee;5;1;N;CAM2;8
46;Rocina;7/5/19;10:45;152;Lasioglossum_sp;Small_bee;26;1;N;CAM2;8
47;Rocina;7/5/19;10:45;152;Eristalis_tenax;Hoverfly;1;1;N;CAM2;8
48;Rocina;7/5/19;10:45;152;Phthiria_sp;Beefly;1;1;N;CAM2;8
49;Rocina;7/5/19;9:00;1656b;Eristalis_tenax;Hoverfly;1;2;N;CAM3;72
50;Rocina;7/5/19;9:00;1656b;Lasioglossum_sp;Small_bee;17;2;N;CAM3;72
